
;신체부위명 원본
101,귀
102,입
111,겨드랑이
112,가슴
113,유두
114,복부
115,난소
116,자궁
121,질
122,클리토리스
123,애널
124,방광
125,요도
126,발

;기생
203,슬라임
204,벌레

;아이아버지
301,인간
302,몬스터
303,벌레
304,짐승
305,마족

;계약
701,1단계당 적의 공격력+15%/마법공격+10%
702,1단계당 자신의 공격력-10%/마법공격-5%
703,1단계당 적의 방어력+10%/마법내성+7.5%
704,1단계당 적의 전투 개시시 보호막+1턴
705,1단계당 자신의 체력-10%/마력-10%

706,1단계당 흥분치 증가+20%
707,1단계당 절정시 +1턴동안 [복종]상태이상 부여
708,1단계당 적의 성희롱 확률+10%

709,1단계당 휴식시 체력/마력의 회복량-10%
710,1단계당 스킬 사용시 필요한 모든 소모값+10%

711,절정시 모유 분비 및 1단계당 모유 분비시마다 현재 체력/마력 방출+5%
